# category	search_term	slug	name
fresh-produce	apples	https://www.fairprice.com.sg/product/china-fuji-apples-5-per-pack-13198956	China Fuji Apples
fresh-produce	apples	https://www.fairprice.com.sg/product/china-premium-fuji-apple-4-per-pack-10896998	China Premium Fuji Apple
fresh-produce	apples	https://www.fairprice.com.sg/product/italy-red-pop-apple-700g-13228441	Italy Red Pop Apple
fresh-produce	apples	https://www.fairprice.com.sg/product/new-zealand-queen-apple-700g-13085730	New Zealand Queen Apple
fresh-produce	apples	https://www.fairprice.com.sg/product/hosui-pear-4s-13088207	Fresh China Brown Pear
fresh-produce	apples	https://www.fairprice.com.sg/product/south-africa-candy-apple-500g-13040453	South Africa Candy Apple
fresh-produce	apples	https://www.fairprice.com.sg/product/china-nam-shui-pear-3-per-pack-13058926	China Nam Shui Pear
fresh-produce	apples	https://www.fairprice.com.sg/product/pasar-royal-gala-apples-800g-13179402	Pasar Royal Gala Apples
fresh-produce	apples	https://www.fairprice.com.sg/product/pears-bonanza-australia-packham-pear-800g-13111623	Pears Bonanza Australia Packham Pear
fresh-produce	apples	https://www.fairprice.com.sg/product/rockit-new-zealand-apple-5-per-pack-13287740	Rockit New Zealand Apple
fresh-produce	apples	https://www.fairprice.com.sg/product/italy-joya-apple-700g-13287113	Italy Joya Apple
fresh-produce	apples	https://www.fairprice.com.sg/product/korea-shingo-pear-1-5kg-13070859	Korea Shingo Pear 
fresh-produce	apples	https://www.fairprice.com.sg/product/freshstory-bing-tang-pear-1-per-pack-13274456	Freshstory Bing Tang Pear
fresh-produce	apples	https://www.fairprice.com.sg/product/france-organic-juliet-apple-bag-800g-13093954	France Organic Juliet Apple Bag
fresh-produce	apples	https://www.fairprice.com.sg/product/pasar-china-golden-pear-4-per-pack-13088208	Pasar China Golden Pear
fresh-produce	apples	https://www.fairprice.com.sg/product/china-fragrant-pear-6-per-pack-13207580	China Fragrant Pear
fresh-produce	apples	https://www.fairprice.com.sg/product/packham-pears-800g-13273730	Packham Pears
fresh-produce	apples	https://www.fairprice.com.sg/product/south-africa-forelle-pear-800g-13288635	South Africa Forelle Pear
fresh-produce	apples	https://www.fairprice.com.sg/product/france-legend-apple-700g-13287100	France Legend Apple
fresh-produce	apples	https://www.fairprice.com.sg/product/australia-corella-pear-800g-13127586	Australia Corella Pear
fresh-produce	bananas	https://www.fairprice.com.sg/product/sumifru-poongmi-wang-banana-820g-13137901	Sumifru Poongmi Wang Banana
fresh-produce	bananas	https://www.fairprice.com.sg/product/sumifru-kamsookwang-banana-820g-13137900	Sumifru Kamsookwang Banana
fresh-produce	bananas	https://www.fairprice.com.sg/product/sumifru-kamsookwang-banana-300g-13129810	Sumifru Kamsookwang Banana
fresh-produce	bananas	https://www.fairprice.com.sg/product/sumifru-rose-banana-1-per-pack-13102643	Sumifru Rose Banana
fresh-produce	bananas	https://www.fairprice.com.sg/product/orgo-fresh-pisang-mas-banana	Agro Fresh Pisang Mas Banana
fresh-produce	bananas	https://www.fairprice.com.sg/product/yayapapaya-aloha-banana-90074796	YayaPapaya Aloha Banana
fresh-produce	bananas	https://www.fairprice.com.sg/product/good-nature-organic-banana-500-g-90089344	ZENXIN Organic Banana
fresh-produce	bananas	https://www.fairprice.com.sg/product/good-nature-organic-sweet-banana-400-g-90089364	ZENXIN Organic Sweet Banana
fresh-produce	bananas	https://www.fairprice.com.sg/product/pasar-thailand-banana-leaves-250g-11912873	Pasar Thailand Banana Leaves
fresh-produce	bananas	https://www.fairprice.com.sg/product/orgo-fresh-banana-leaf-slim-cut-daun-pisang-100-g-90150990	Agro Fresh Banana Leaf Slim Cut (Daun Pisang)
fresh-produce	bananas	https://www.fairprice.com.sg/product/freshco-banana-shallots-200-g-90103414	Banana Shallots
fresh-produce	bananas	https://www.fairprice.com.sg/product/sumifru-cavendish-banana-700g-13102605	Sumifru Philippines Banana
fresh-produce	bananas	https://www.fairprice.com.sg/product/post-great-grain-banana-nut-crunch-439g-13020957	Post Great Grains Cereal - Banana Nut Crunch
fresh-produce	bananas	https://www.fairprice.com.sg/product/marigold-hl-milk-banana-946ml-10977034	Marigold HL Milk - Banana
fresh-produce	bananas	https://www.fairprice.com.sg/product/rafferty-s-garden-baby-food-blueberry-banana-apple-120g-12302241	Rafferty's Garden Baby Food - Blueberry- Banana & Apple
fresh-produce	bananas	https://www.fairprice.com.sg/product/13097334	Wel.B Freeze Dried Fruit - Strawberry & Banana
fresh-produce	bananas	https://www.fairprice.com.sg/product/gerber-graduates-puffs-banana-42g-11068182	Gerber Graduates Baby Puffs - Banana
fresh-produce	bananas	https://www.fairprice.com.sg/product/binggrae-flavoured-packet-light-milk-banana-6-x-200ml-13237071	Binggrae Flavoured Packet Light Milk - Banana
fresh-produce	bananas	https://www.fairprice.com.sg/product/gerber-baby-multigrain-cereal-banana-apple-strawberry-227g-13136385	Gerber Baby MultiGrain Cereal - Banana- Apple & Strawberry
fresh-produce	bananas	https://www.fairprice.com.sg/product/vitasoy-soymlik-packet-drink-banana-6-x-250ml-13261538	Vitasoy Soymilk Packet Drink - Banana
fresh-produce	leafy	https://www.fairprice.com.sg/product/chef-nai-bai-200g-13236467	Chef Nai Bai
fresh-produce	leafy	https://www.fairprice.com.sg/product/simply-finest-xiao-bai-cai-300g-13167889	Simply Finest Xiao Bai Cai
fresh-produce	leafy	https://www.fairprice.com.sg/product/simply-finest-spinach-round-300g-13167829	Simply Finest Round Spinach
fresh-produce	leafy	https://www.fairprice.com.sg/product/simply-finest-kang-kong-300g-13167828	Simply Finest Kang Kong
fresh-produce	leafy	https://www.fairprice.com.sg/product/simply-finest-spinach-red-300g-13167886	Simply Finest Red Spinach
fresh-produce	leafy	https://www.fairprice.com.sg/product/pasar-baby-kailan-200g-10768515	Pasar Baby Kailan
fresh-produce	leafy	https://www.fairprice.com.sg/product/13001088	Kok Fah Baby Sweet Potato Leaves
fresh-produce	leafy	https://www.fairprice.com.sg/product/chef-chinese-spinach-phuay-leng-200g-13236468	Chef Chinese Spinach (Phuay Leng)
fresh-produce	leafy	https://www.fairprice.com.sg/product/china-shanghai-green-baby-300g-12156192	China Shanghai Green Baby
fresh-produce	leafy	https://www.fairprice.com.sg/product/chef-yau-mak-chye-200g-13236469	Chef Yau Mak Chye
meat-seafood	beef	https://www.fairprice.com.sg/product/amirs-minced-beef-300g-11857923	Amir's Premium Frozen Meat - Minced Beef
meat-seafood	beef	https://www.fairprice.com.sg/product/13140200	Chef Delights Frozen Beef Shabu Shabu
meat-seafood	beef	https://www.fairprice.com.sg/product/amirs-frozen-stir-fry-beef-200g-12154330	Amir's Premium Frozen Meat - Stir Fry Beef
