# category	search_term	slug	name
dairy	beverages	https://www.fairprice.com.sg/product/milo-chocolate-malt-milk-uht-packet-drink-24-x-200ml-ctn-12700043	Milo Chocolate Malt Milk UHT Packet Drink
dairy	beverages	https://www.fairprice.com.sg/product/milo-chocolate-malt-milk-uht-packet-drink-less-sugar-24-x-200ml-ctn-12708770	Milo Chocolate Malt Milk UHT Packet Drink -Less Sugar
dairy	biscuits	https://www.fairprice.com.sg/product/julie-s-sandwich-biscuits-peanut-butter-360g-12-per-pack-12083675	Julie's Sandwich Biscuits - Peanut Butter
dairy	biscuits	https://www.fairprice.com.sg/product/julies-cracker-butter-250g-12080992	Julie's Crackers - Butter
dairy	biscuits	https://www.fairprice.com.sg/product/ritz-sandwich-biscuits-multipack-cheese-cream-243g-13160723	Ritz Sandwich Biscuits Multipack - Cheese Cream
dairy	biscuits	https://www.fairprice.com.sg/product/julie-s-sandwich-biscuits-cheese-336g-12-per-pack-12021917	Julie's Sandwich Biscuits - Cheese
dairy	bread	https://www.fairprice.com.sg/product/gardenia-enriched-white-bread-600g-10099606	Gardenia Enriched White Bread
dairy	bread	https://www.fairprice.com.sg/product/sunshine-hokkaido-milk-toast-bread-400g-10983506	Sunshine Hokkaido Milk Toast Bread
dairy	bread	https://www.fairprice.com.sg/product/gardenia-enriched-white-bread-400g-93964	Gardenia Enriched White Bread
dairy	bread	https://www.fairprice.com.sg/product/super-soft---fine-enriched-wholemeal-white-bread--13074362	Gardenia 100% Wholemeal Bread -  Extra Soft & Fine
dairy	bread	https://www.fairprice.com.sg/product/gardenia-fine-grain-wholemeal-bread-420g-93980	Gardenia Wholemeal Bread - Fine Grain
dairy	bread	https://www.fairprice.com.sg/product/sunshine-wholemeal-bread---ultra-fine-13110179	Sunshine Wholemeal Bread - Ultra Fine
dairy	bread	https://www.fairprice.com.sg/product/gardenia-wholemeal-extra-soft-fine-bread-600g-13196447	Gardenia Wholemeal Extra Soft & Fine Bread
dairy	bread	https://www.fairprice.com.sg/product/10470049	Gardenia Loaf - California Raisin
dairy	bread	https://www.fairprice.com.sg/product/13045385	Sunshine Bread - Jumbo Pack Enriched Soft White
